CASEID;AGE1979;SAMPLE_SEX;SAMPLE_RACE;AFQT;ASVAB;HIGHESTGRADE;HEALTHLIMIT;INCOME;INDUSTRY;NUMJOBS;URBAN_RURAL;REGION;MARSTAT_COL;YR_ENT_LF;YR_EMP;YR_UNEMP;YR_OUT;AGE_ENT;UNEMP
27.0;18.0;Female;Non-Black, Non-Hispanic;96674.0;60.0;College;No;0.0;Wholesale and Retail Trade;0.0;Rural;Northeast;Married, together;1979.0;10.0;0.0;9.0;18.0;0.0
28.0;15.0;Female;Non-Black, Non-Hispanic;92784.0;50.0;Less than high school;No;20000.0;Personal Services;2.0;Urban;Northeast;Other;1980.0;17.0;0.0;0.0;16.0;0.0
29.0;18.0;Female;Non-Black, Non-Hispanic;25905.0;59.0;High school;No;35000.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Never married;1979.0;18.0;1.0;0.0;18.0;1.0
35.0;15.0;Female;Non-Black, Non-Hispanic;53046.0;50.0;High school;No;27000.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1984.0;13.0;0.0;0.0;20.0;0.0
37.0;20.0;Female;Non-Black, Non-Hispanic;56290.0;53.0;High school;No;21000.0;Manufacturing;2.0;Rural;Northeast;Married, together;1979.0;13.0;0.0;6.0;20.0;0.0
38.0;16.0;Female;Non-Black, Non-Hispanic;12788.0;50.0;High school;No;34000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;16.0;1.0;0.0;18.0;1.0
45.0;19.0;Male;Non-Black, Non-Hispanic;50629.0;50.0;High school;No;40000.0;Transportation, Communication, Public Utilities;3.0;Urban;Northeast;Married, together;1980.0;15.0;0.0;0.0;20.0;0.0
46.0;16.0;Female;Non-Black, Non-Hispanic;78095.0;73.0;College;No;33000.0;Personal Services;3.0;Urban;Northeast;Married, together;1979.0;14.0;0.0;5.0;16.0;0.0
47.0;20.0;Male;Non-Black, Non-Hispanic;75473.0;51.0;High school;No;34000.0;Manufacturing;2.0;Rural;Northeast;Never married;1979.0;18.0;1.0;0.0;20.0;1.0
49.0;20.0;Female;Non-Black, Non-Hispanic;71226.0;80.0;College;No;17000.0;Professional and Related Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
50.0;20.0;Female;Non-Black, Non-Hispanic;78742.0;63.0;High school;No;9900.0;Manufacturing;1.0;Urban;Northeast;Married, together;1979.0;17.0;0.0;2.0;20.0;0.0
58.0;22.0;Female;Non-Black, Non-Hispanic;91625.0;83.0;College;No;18500.0;Public Administration;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;22.0;0.0
59.0;20.0;Male;Non-Black, Non-Hispanic;98841.0;67.0;High school;No;26000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Other;1979.0;19.0;0.0;0.0;20.0;0.0
68.0;16.0;Female;Non-Black, Non-Hispanic;100000.0;78.0;College;No;44000.0;Personal Services;4.0;Urban;Northeast;Married, together;1979.0;11.0;1.0;7.0;16.0;1.0
72.0;19.0;Female;Non-Black, Non-Hispanic;80538.0;56.0;College;No;28500.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1981.0;17.0;0.0;0.0;21.0;0.0
75.0;17.0;Female;Non-Black, Non-Hispanic;83379.0;58.0;College;No;35000.0;Personal Services;3.0;Urban;Northeast;Married, together;1979.0;17.0;1.0;1.0;17.0;1.0
76.0;15.0;Male;Non-Black, Non-Hispanic;42780.0;36.0;College;No;24000.0;Manufacturing;2.0;Urban;Northeast;Never married;1981.0;15.0;0.0;2.0;17.0;0.0
77.0;14.0;Female;Non-Black, Non-Hispanic;96835.0;41.0;College;No;43200.0;Professional and Related Services;2.0;Urban;Northeast;Never married;1987.0;11.0;0.0;0.0;22.0;0.0
79.0;18.0;Male;Non-Black, Non-Hispanic;96084.0;60.0;College;No;81481.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1985.0;12.0;0.0;0.0;24.0;0.0
83.0;18.0;Male;Black;2366.0;28.0;Less than high school;No;0.0;Wholesale and Retail Trade;0.0;Urban;Northeast;Never married;1981.0;9.0;2.0;6.0;20.0;1.0
88.0;21.0;Male;Black;80798.0;68.0;College;No;28000.0;Construction;2.0;Urban;Northeast;Never married;1980.0;18.0;0.0;0.0;22.0;0.0
89.0;20.0;Female;Black;84980.0;55.0;College;No;27500.0;Professional and Related Services;2.0;Urban;Northeast;Never married;1981.0;17.0;0.0;0.0;22.0;0.0
92.0;16.0;Female;Non-Black, Non-Hispanic;44375.0;49.0;High school;No;3000.0;Professional and Related Services;2.0;Urban;Northeast;Married, together;1979.0;14.0;3.0;2.0;16.0;1.0
96.0;17.0;Female;Non-Black, Non-Hispanic;36772.0;54.0;Less than high school;No;18000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;16.0;1.0;2.0;17.0;1.0
97.0;21.0;Female;Non-Black, Non-Hispanic;59411.0;49.0;High school;No;20000.0;Business and Repair Services;2.0;Urban;Northeast;Married, together;1979.0;18.0;1.0;0.0;21.0;1.0
98.0;21.0;Female;Non-Black, Non-Hispanic;69552.0;57.0;High school;No;8000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1983.0;5.0;0.0;10.0;25.0;0.0
101.0;20.0;Male;Non-Black, Non-Hispanic;87368.0;51.0;College;No;42000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;16.0;0.0;0.0;22.0;0.0
103.0;20.0;Male;Non-Black, Non-Hispanic;76421.0;42.0;College;No;30000.0;Professional and Related Services;2.0;Rural;Northeast;Never married;1980.0;17.0;0.0;1.0;21.0;0.0
105.0;20.0;Female;Non-Black, Non-Hispanic;81787.0;60.0;High school;No;20850.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Other;1979.0;18.0;1.0;0.0;20.0;1.0
106.0;18.0;Male;Non-Black, Non-Hispanic;87651.0;62.0;College;No;37000.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Never married;1979.0;17.0;1.0;1.0;18.0;1.0
107.0;17.0;Male;Non-Black, Non-Hispanic;65347.0;70.0;College;No;25000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;18.0;1.0;0.0;17.0;1.0
108.0;20.0;Male;Non-Black, Non-Hispanic;96818.0;83.0;College;No;10000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Never married;1979.0;17.0;0.0;2.0;20.0;0.0
110.0;21.0;Male;Non-Black, Non-Hispanic;64697.0;62.0;High school;No;27000.0;Entertainment and Recreation Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
112.0;15.0;Female;Non-Black, Non-Hispanic;39529.0;33.0;Less than high school;Yes;20000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Married, together;1984.0;13.0;1.0;0.0;20.0;1.0
117.0;19.0;Male;Non-Black, Non-Hispanic;98349.0;32.0;College;No;40000.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1982.0;16.0;0.0;0.0;22.0;0.0
121.0;14.0;Female;Non-Black, Non-Hispanic;92618.0;49.0;College;No;1200.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Never married;1979.0;17.0;0.0;2.0;14.0;0.0
122.0;17.0;Male;Non-Black, Non-Hispanic;52132.0;47.0;High school;No;50000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Married, together;1982.0;15.0;0.0;1.0;20.0;0.0
124.0;18.0;Female;Non-Black, Non-Hispanic;40114.0;27.0;College;No;1200.0;Personal Services;1.0;Rural;South;Married, together;1985.0;3.0;4.0;6.0;24.0;1.0
126.0;20.0;Male;Non-Black, Non-Hispanic;67259.0;40.0;College;No;62836.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
128.0;20.0;Female;Non-Black, Non-Hispanic;59846.0;61.0;High school;No;23000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;18.0;0.0;0.0;20.0;0.0
133.0;16.0;Female;Non-Black, Non-Hispanic;57983.0;52.0;High school;No;35000.0;Personal Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;16.0;0.0
135.0;14.0;Male;Non-Black, Non-Hispanic;38315.0;45.0;College;No;34000.0;Construction;4.0;Urban;Northeast;Married, together;1981.0;15.0;1.0;0.0;16.0;1.0
140.0;20.0;Female;Non-Black, Non-Hispanic;72878.0;50.0;College;No;27000.0;Professional and Related Services;3.0;Rural;Northeast;Married, together;1981.0;16.0;0.0;1.0;22.0;0.0
144.0;14.0;Female;Non-Black, Non-Hispanic;37874.0;46.0;High school;No;0.0;Personal Services;0.0;Urban;Northeast;Married, together;1979.0;12.0;1.0;6.0;14.0;1.0
145.0;16.0;Male;Non-Black, Non-Hispanic;62607.0;39.0;Less than high school;No;5000.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Never married;1984.0;10.0;4.0;0.0;21.0;1.0
147.0;17.0;Female;Non-Black, Non-Hispanic;22466.0;66.0;College;No;0.0;Wholesale and Retail Trade;0.0;Urban;Northeast;Married, together;1979.0;13.0;0.0;6.0;17.0;0.0
148.0;16.0;Male;Non-Black, Non-Hispanic;74997.0;47.0;High school;No;36000.0;Personal Services;2.0;Urban;Northeast;Never married;1981.0;17.0;0.0;0.0;18.0;0.0
149.0;15.0;Female;Non-Black, Non-Hispanic;39973.0;50.0;High school;No;43500.0;Personal Services;2.0;Urban;Northeast;Married, together;1981.0;17.0;0.0;0.0;17.0;0.0
151.0;21.0;Female;Non-Black, Non-Hispanic;28478.0;44.0;High school;No;6500.0;Finance, Insurance, and Real Estate;3.0;Urban;West;Married, together;1979.0;15.0;2.0;0.0;21.0;1.0
155.0;15.0;Male;Non-Black, Non-Hispanic;47003.0;48.0;Less than high school;No;38000.0;Personal Services;3.0;Urban;Northeast;Other;1981.0;14.0;2.0;0.0;17.0;1.0
157.0;17.0;Female;Non-Black, Non-Hispanic;43873.0;61.0;College;No;1800.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Other;1979.0;14.0;1.0;2.0;17.0;1.0
158.0;20.0;Female;Non-Black, Non-Hispanic;85206.0;44.0;College;No;14000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
159.0;18.0;Female;Non-Black, Non-Hispanic;89686.0;72.0;College;No;33000.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1979.0;18.0;0.0;0.0;18.0;0.0
160.0;19.0;Female;Non-Black, Non-Hispanic;77440.0;59.0;College;No;25000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;19.0;0.0
162.0;17.0;Male;Non-Black, Non-Hispanic;98253.0;60.0;College;No;55000.0;Manufacturing;2.0;Urban;North central;Married, together;1979.0;19.0;0.0;0.0;17.0;0.0
167.0;19.0;Female;Non-Black, Non-Hispanic;33598.0;60.0;High school;No;1400.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Married, together;1981.0;9.0;3.0;4.0;21.0;1.0
171.0;17.0;Male;Non-Black, Non-Hispanic;82207.0;20.0;College;No;36000.0;Entertainment and Recreation Services;2.0;Urban;West;Married, together;1981.0;16.0;0.0;1.0;19.0;0.0
177.0;18.0;Male;Non-Black, Non-Hispanic;51881.0;39.0;High school;No;46000.0;Wholesale and Retail Trade;2.0;Urban;South;Married, together;1979.0;14.0;0.0;2.0;18.0;0.0
178.0;20.0;Male;Non-Black, Non-Hispanic;77068.0;63.0;College;No;0.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
179.0;20.0;Female;Non-Black, Non-Hispanic;30455.0;14.0;High school;No;6760.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Married, together;1979.0;18.0;1.0;0.0;20.0;1.0
180.0;21.0;Female;Non-Black, Non-Hispanic;88334.0;65.0;College;No;16500.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;13.0;0.0;3.0;23.0;0.0
184.0;18.0;Female;Non-Black, Non-Hispanic;59078.0;38.0;College;No;23019.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;15.0;4.0;0.0;18.0;1.0
186.0;19.0;Female;Non-Black, Non-Hispanic;81515.0;59.0;College;No;36000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;16.0;3.0;0.0;19.0;1.0
187.0;14.0;Male;Non-Black, Non-Hispanic;58788.0;29.0;College;No;38000.0;Manufacturing;2.0;Urban;Northeast;Never married;1983.0;12.0;0.0;0.0;18.0;0.0
189.0;21.0;Male;Non-Black, Non-Hispanic;59286.0;47.0;College;No;17000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;19.0;0.0;0.0;21.0;0.0
191.0;15.0;Male;Non-Black, Non-Hispanic;89270.0;54.0;College;No;42700.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1983.0;10.0;4.0;1.0;19.0;1.0
192.0;15.0;Female;Non-Black, Non-Hispanic;80480.0;47.0;College;No;30000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;16.0;1.0;0.0;17.0;1.0
193.0;21.0;Male;Non-Black, Non-Hispanic;45527.0;59.0;College;No;38000.0;Manufacturing;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
195.0;19.0;Male;Non-Black, Non-Hispanic;87917.0;62.0;College;No;74283.0;Wholesale and Retail Trade;2.0;Urban;West;Never married;1983.0;15.0;0.0;0.0;23.0;0.0
198.0;15.0;Male;Non-Black, Non-Hispanic;64239.0;58.0;College;No;50000.0;Business and Repair Services;2.0;Urban;West;Married, together;1980.0;17.0;0.0;0.0;16.0;0.0
199.0;20.0;Male;Non-Black, Non-Hispanic;19225.0;53.0;High school;No;37000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Never married;1981.0;16.0;0.0;0.0;22.0;0.0
200.0;20.0;Female;Non-Black, Non-Hispanic;27551.0;77.0;High school;No;0.0;Manufacturing;0.0;Urban;Northeast;Married, together;1979.0;12.0;0.0;7.0;20.0;0.0
201.0;21.0;Male;Non-Black, Non-Hispanic;86603.0;62.0;College;No;40000.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Married, together;1979.0;17.0;2.0;0.0;21.0;1.0
207.0;16.0;Male;Non-Black, Non-Hispanic;25802.0;26.0;Less than high school;No;1200.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Married, together;1981.0;14.0;2.0;1.0;18.0;1.0
209.0;18.0;Male;Non-Black, Non-Hispanic;49080.0;42.0;Less than high school;No;4000.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Never married;1979.0;16.0;2.0;0.0;18.0;1.0
211.0;15.0;Female;Non-Black, Non-Hispanic;74988.0;59.0;College;No;30000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1984.0;11.0;0.0;3.0;20.0;0.0
212.0;18.0;Male;Non-Black, Non-Hispanic;57814.0;43.0;High school;No;49000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1980.0;18.0;0.0;0.0;19.0;0.0
213.0;16.0;Male;Non-Black, Non-Hispanic;99460.0;54.0;College;No;43000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;15.0;0.0;4.0;16.0;0.0
214.0;14.0;Male;Non-Black, Non-Hispanic;79883.0;38.0;College;No;65000.0;Manufacturing;2.0;Urban;Northeast;Never married;1981.0;16.0;1.0;0.0;16.0;1.0
218.0;21.0;Male;Non-Black, Non-Hispanic;81447.0;56.0;College;No;57124.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
219.0;19.0;Female;Non-Black, Non-Hispanic;60012.0;62.0;College;No;74283.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;17.0;0.0;2.0;19.0;0.0
220.0;17.0;Female;Non-Black, Non-Hispanic;89381.0;83.0;College;No;0.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;18.0;0.0;1.0;17.0;0.0
221.0;14.0;Female;Black;5315.0;5.0;Less than high school;No;0.0;Professional and Related Services;0.0;Urban;Northeast;Never married;1998.0;2.0;0.0;0.0;33.0;0.0
222.0;17.0;Male;Black;787.0;4.0;Less than high school;No;15000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Never married;1987.0;5.0;4.0;2.0;25.0;1.0
223.0;16.0;Male;Black;9190.0;24.0;Less than high school;No;26000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;17.0;0.0;0.0;18.0;0.0
225.0;18.0;Male;Hispanic;2604.0;14.0;Less than high school;No;14500.0;Professional and Related Services;2.0;Urban;Northeast;Never married;1979.0;15.0;0.0;1.0;18.0;0.0
227.0;21.0;Female;Black;6599.0;12.0;Less than high school;No;4500.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Other;1987.0;3.0;1.0;7.0;29.0;1.0
230.0;14.0;Male;Non-Black, Non-Hispanic;34084.0;41.0;College;No;21500.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1985.0;13.0;0.0;0.0;20.0;0.0
231.0;21.0;Female;Non-Black, Non-Hispanic;36443.0;63.0;High school;No;19099.0;Public Administration;2.0;Urban;Northeast;Married, together;1979.0;13.0;0.0;6.0;21.0;0.0
232.0;17.0;Male;Non-Black, Non-Hispanic;55780.0;45.0;College;No;24000.0;Agriculture, Forestry, Fishing, and Hunting;2.0;Rural;Northeast;Never married;1979.0;17.0;0.0;2.0;17.0;0.0
233.0;14.0;Male;Non-Black, Non-Hispanic;31472.0;43.0;High school;No;23000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;17.0;1.0;1.0;14.0;1.0
234.0;17.0;Male;Non-Black, Non-Hispanic;35461.0;38.0;High school;No;15000.0;Manufacturing;1.0;Urban;Northeast;Married, together;1980.0;8.0;6.0;2.0;18.0;1.0
235.0;15.0;Male;Non-Black, Non-Hispanic;61313.0;50.0;College;No;45000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1980.0;18.0;0.0;0.0;16.0;0.0
236.0;17.0;Female;Non-Black, Non-Hispanic;71673.0;51.0;High school;No;19000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1982.0;16.0;0.0;0.0;20.0;0.0
237.0;21.0;Female;Non-Black, Non-Hispanic;64751.0;55.0;High school;Yes;18600.0;Business and Repair Services;2.0;Urban;Northeast;Other;1984.0;5.0;0.0;9.0;26.0;0.0
240.0;16.0;Female;Non-Black, Non-Hispanic;50483.0;38.0;High school;No;15000.0;Personal Services;2.0;Rural;Northeast;Married, together;1981.0;14.0;3.0;0.0;18.0;1.0
242.0;20.0;Female;Non-Black, Non-Hispanic;30481.0;59.0;High school;No;12000.0;Wholesale and Retail Trade;2.0;Urban;West;Married, together;1979.0;18.0;0.0;1.0;20.0;0.0
243.0;20.0;Male;Non-Black, Non-Hispanic;62957.0;50.0;High school;No;32000.0;Public Administration;3.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
245.0;16.0;Female;Non-Black, Non-Hispanic;81929.0;66.0;College;No;10000.0;Public Administration;2.0;Urban;Northeast;Married, together;1983.0;15.0;0.0;0.0;20.0;0.0
247.0;20.0;Male;Non-Black, Non-Hispanic;52544.0;29.0;College;No;31000.0;Wholesale and Retail Trade;3.0;Urban;South;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
249.0;16.0;Female;Non-Black, Non-Hispanic;45311.0;45.0;College;No;14000.0;Professional and Related Services;2.0;Urban;Northeast;Married, together;1990.0;7.0;0.0;1.0;27.0;0.0
253.0;14.0;Male;Non-Black, Non-Hispanic;34745.0;32.0;Less than high school;No;0.0;Manufacturing;2.0;Urban;Northeast;Never married;1988.0;10.0;0.0;0.0;23.0;0.0
254.0;17.0;Female;Non-Black, Non-Hispanic;94821.0;70.0;High school;No;24000.0;Professional and Related Services;2.0;Urban;Northeast;Other;1979.0;18.0;0.0;1.0;17.0;0.0
256.0;17.0;Female;Non-Black, Non-Hispanic;56308.0;63.0;High school;No;21000.0;Wholesale and Retail Trade;2.0;Urban;South;Other;1983.0;14.0;1.0;0.0;21.0;1.0
258.0;21.0;Female;Non-Black, Non-Hispanic;76189.0;69.0;College;No;0.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1982.0;11.0;0.0;5.0;24.0;0.0
259.0;20.0;Male;Non-Black, Non-Hispanic;56348.0;44.0;High school;No;24600.0;Manufacturing;2.0;Urban;Northeast;Other;1979.0;18.0;1.0;0.0;20.0;1.0
260.0;18.0;Male;Non-Black, Non-Hispanic;83227.0;56.0;College;No;34000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;18.0;0.0
262.0;18.0;Female;Non-Black, Non-Hispanic;33669.0;62.0;High school;No;20500.0;Wholesale and Retail Trade;2.0;Urban;South;Married, together;1979.0;17.0;0.0;0.0;18.0;0.0
263.0;17.0;Male;Non-Black, Non-Hispanic;49339.0;48.0;High school;No;25500.0;Business and Repair Services;2.0;Urban;Northeast;Married, together;1980.0;12.0;1.0;0.0;18.0;1.0
265.0;16.0;Female;Non-Black, Non-Hispanic;96501.0;60.0;College;No;0.0;Wholesale and Retail Trade;1.0;Urban;North central;Married, together;1985.0;7.0;1.0;5.0;22.0;1.0
268.0;20.0;Male;Non-Black, Non-Hispanic;49643.0;43.0;High school;No;9000.0;Construction;2.0;Urban;Northeast;Married, together;1981.0;12.0;4.0;1.0;22.0;1.0
271.0;15.0;Female;Non-Black, Non-Hispanic;53793.0;48.0;College;No;13600.0;Personal Services;1.0;Urban;Northeast;Never married;1979.0;16.0;1.0;0.0;15.0;1.0
272.0;22.0;Female;Non-Black, Non-Hispanic;94116.0;57.0;College;No;0.0;Professional and Related Services;0.0;Urban;Northeast;Married, together;1979.0;5.0;1.0;13.0;22.0;1.0
273.0;19.0;Male;Non-Black, Non-Hispanic;64372.0;58.0;College;No;30000.0;Wholesale and Retail Trade;2.0;Urban;South;Never married;1983.0;15.0;0.0;0.0;23.0;0.0
275.0;16.0;Female;Non-Black, Non-Hispanic;72963.0;58.0;College;Yes;34000.0;Personal Services;2.0;Urban;Northeast;Married, together;1979.0;17.0;2.0;0.0;16.0;1.0
277.0;19.0;Male;Non-Black, Non-Hispanic;32567.0;61.0;High school;No;10000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;18.0;1.0;0.0;19.0;1.0
279.0;16.0;Male;Non-Black, Non-Hispanic;59272.0;39.0;High school;No;35000.0;Transportation, Communication, Public Utilities;2.0;Urban;South;Never married;1984.0;14.0;0.0;0.0;21.0;0.0
281.0;17.0;Male;Non-Black, Non-Hispanic;72769.0;48.0;College;No;48000.0;Professional and Related Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;17.0;0.0
282.0;15.0;Female;Non-Black, Non-Hispanic;85400.0;52.0;College;No;0.0;Personal Services;0.0;Urban;Northeast;Married, together;1980.0;13.0;0.0;5.0;16.0;0.0
283.0;20.0;Male;Hispanic;15136.0;34.0;Less than high school;No;28795.0;Manufacturing;2.0;Urban;Northeast;Never married;1984.0;14.0;0.0;0.0;25.0;0.0
284.0;19.0;Male;Hispanic;44708.0;40.0;High school;No;28000.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Never married;1979.0;17.0;0.0;2.0;19.0;0.0
285.0;17.0;Female;Hispanic;15448.0;47.0;Less than high school;No;18000.0;Public Administration;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;17.0;0.0
286.0;14.0;Female;Hispanic;62147.0;43.0;College;No;22000.0;Public Administration;2.0;Urban;Northeast;Never married;1985.0;13.0;0.0;0.0;20.0;0.0
289.0;16.0;Female;Non-Black, Non-Hispanic;28861.0;59.0;High school;No;7915.0;Personal Services;2.0;Urban;Northeast;Never married;1992.0;5.0;1.0;0.0;29.0;1.0
290.0;19.0;Female;Hispanic;11136.0;45.0;Less than high school;No;400.0;Professional and Related Services;1.0;Urban;Northeast;Other;1990.0;8.0;0.0;0.0;30.0;0.0
291.0;20.0;Male;Black;42445.0;33.0;High school;Yes;200.0;Manufacturing;1.0;Urban;Northeast;Never married;1989.0;4.0;4.0;1.0;30.0;1.0
292.0;22.0;Female;Non-Black, Non-Hispanic;92223.0;58.0;College;No;13000.0;Professional and Related Services;2.0;Urban;Northeast;Married, together;1980.0;16.0;0.0;2.0;23.0;0.0
293.0;19.0;Female;Non-Black, Non-Hispanic;91927.0;51.0;High school;No;9000.0;Professional and Related Services;7.0;Urban;Northeast;Married, together;1979.0;17.0;0.0;2.0;19.0;0.0
297.0;21.0;Female;Non-Black, Non-Hispanic;68168.0;58.0;High school;No;0.0;Manufacturing;2.0;Urban;Northeast;Other;1980.0;18.0;0.0;0.0;22.0;0.0
298.0;15.0;Female;Hispanic;13483.0;35.0;High school;No;20845.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Married, together;1983.0;12.0;1.0;0.0;19.0;1.0
